,name,id,price,promo_price,brand,url
88,"Functional Nutrition Корм сухой для стерилизованных кошек, с индейкой и уткой, 1,5 кг",1057069,1499,1499,Mealfeel,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-kuricey-i-utkoy-400g.html?offer=156065
89,"Корм для стерилизованных кошек с кроликом, 1,5 кг",1052490,739,739,DELICANA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-krolikom.html?offer=142899
90,"Hypoallergenic DR25 корм для кошек с пищевой аллергией, 2,5 кг",1000865,5217,5217,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Hypoallergenic_dieticheskiy_suhoy_korm_dlya_koshek_pri_allergii.html?offer=42574
91,"Science Plan Сухой корм для взрослых кошек для поддержания жизненной энергии и иммунитета, с ягненком, 10 кг",1000116,9162,9162,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_yagnenok.html?offer=41992
92,"Delicate Сухой корм для кошек от 1 года с чувствительным пищеварением синдейкой, 1,5 кг + 400 г",1048956,1869,1869,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-kosh-chuvpishch-indris-1-5kg-400g.html?offer=132688
93,"Корм для кошек с чувствительным пищеварением с индейкой, 1,5 кг",1052488,869,869,DELICANA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy.html?offer=142897
94,"Корм сухой для котят курица, 2кг",1051383,1085,1085,Brit,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-kurica.html?offer=139515
95,"Adult Salmon Корм сухой для кошек, с лососем, 1,5 кг",1054518,1029,1029,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-lososem1.html?offer=148178
96,"Indoor сухой корм для кошек с курицей, морковью и рисом, 1,5 кг",1053910,1449,1449,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-kuricey-morkovyu-i-risom.html?offer=146682
97,"Urinary S/O корм для кошек при заболеваниях дистального отдела мочевыделительной системы, модератор калорий, 1,5 кг",1034310,2599,2599,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-urinari-s-o-moderator-kaloriy.html?offer=94819
98,"Sterilised Сухой корм для стерилизованных кошек с кроликом, 1,5 кг + 400г",1048949,1869,1869,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-ster-kosh-afte-kea-kurica-krolik-1-5kg-400g.html?offer=132640
99,"Gastro Intestinal Moderate Calorie GIM35 корм для кошек при нарушении пищеварения с умеренным содержанием энергии, 2 кг",1003549,3895,3895,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Gastro_Intestinal_Moderate_Calorie_GIM35_dieticheskiy_suhoy_korm_dlya_koshek.html?offer=42584
